Linux 2.6.9-5.EL (qa-oracle) 	11/16/07

13:44:21          CPU     %user     %nice   %system   %iowait     %idle
13:44:26          all      6.20      0.00      1.80      0.40     91.60
13:44:31          all      1.40      0.00      1.40      2.79     94.41
13:44:36          all      4.81      0.00      2.61      1.00     91.58
13:44:41          all      5.99      0.00      2.00      3.59     88.42
13:44:46          all      0.80      0.00      0.40      0.60     98.20
13:44:51          all      7.41      0.00      2.00      0.60     89.98
13:44:56          all      0.40      0.00      0.60     29.40     69.60
13:45:01          all      3.79      0.00      2.59      0.60     93.01
13:45:06          all      1.20      0.00      0.60      0.80     97.39
13:45:11          all      5.59      0.00      1.60      0.60     92.22
13:45:16          all      0.00      0.00      0.40      0.40     99.20
13:45:21          all      4.99      0.00      2.20      0.60     92.22
13:45:26          all      0.60      0.00      0.60      0.20     98.60
13:45:31          all      2.61      0.00      1.00     17.03     79.36
13:45:36          all      5.19      0.00      2.79      0.80     91.22
13:45:41          all      4.00      0.00      1.40      2.00     92.60
13:45:46          all      3.21      0.00      1.00      1.60     94.19
13:45:51          all      5.60      0.00      3.20      1.40     89.80
13:45:56          all      1.00      0.00      0.60      0.80     97.61
13:46:01          all      2.21      0.00      1.81      3.82     92.17
13:46:06          all      1.80      0.00      1.60      1.00     95.61
13:46:11          all      6.21      0.00      2.00     17.84     73.95
13:46:16          all      5.59      0.00      2.99      0.80     90.62
Average:          all      3.50      0.00      1.62      3.85     91.03
