spawn ssh 10.0.6.42 -l oracle date -R && vmstat 5
oracle@10.0.6.42's password: 
Fri, 16 Nov 2007 13:48:06 +0800
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 0  0  25664   6096  38604 708188    0    0     7     6    2     7  6  1 93  0
 0  0  25664  10068  38620 703864    0    0   537  2000 2035  1212 31 11 46 12
 0  0  25664   8344  38640 704944    0    0   182   475 2437  1538 27 10 54  9
 0  0  25664   7192  38652 705756    0    0   126   530 2222  1366 22  7 51 20
 1  0  25664   7828  38652 701516    0    4   100   489 2431  1586 21 10 65  4
 0  0  25664   7232  38664 702324    0    0   126   486 1870  1015 12  5 73 11
 1  1  25664   3652  38648 696060    0    0    35  1082 1217   419 11  3 83  3
 0  0  25664  11392  38664 696232    0    0   122  1455 1217   441 14  5 72  9
 0  0  25664  12052  38672 696456    0    0    12   485 1246   439  4  2 92  2
 0  0  25664  12868  38684 696804    0    0    22   518 1373   559 10  3 84  3
 0  0  25664  13316  38692 696956    0    0     1   542 1430   603  5  2 77 16
 0  0  25664  12932  38700 697164    0    0     7   485 1168   391  6  1 92  1
 0  0  25664  12932  38700 697360    0    0     3   499 1177   396  4  1 94  0
 1  0  25664   8900  38708 697528    0    0     2   494 1174   386 12  3 84  1
 0  0  25664  12432  38716 697696    0    0     2   469 1137   348  8  1 91  0
 0  0  25664  12292  38724 697968    0    0    10   519 1189   411  3  1 95  2
 0  0  25664  10564  38732 698356    0    0    42   492 1160   373  6  1 89  3
 0  0  25664  10372  38740 698540    0    0     2   556 1107   311  0  1 89 10
 0  0  25664  10692  38740 698712    0    0     2   458 1153   352  3  1 96  0
 0  0  25664   9220  38748 698900    0    0     8   486 1150   369  2  2 96  1
 0  0  25664  13580  38572 695896    0    0  2090   502 1194   400 14  4 70 12
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0  25664  13516  38580 696124    0    0     7   511 1170   390  3  1 94  2
 0  0  25664  13360  38588 696316    0    0     6   473 1117   333  2  0 97  1
 0  0  25664  13644  38588 696484    0    0     2   518 1114   348  1  1 97  0
 0  0  25664  13644  38596 696660    0    0     2   490 1126   348  1  1 98  0
 0  0  25664  11148  38604 697300    0    0    90   581 1164   382  6  2 59 33
 0  0  25664  10828  38612 697540    0    0    18   473 1093   313  1  0 97  1
 0  1  25664  12108  38620 697740    0    0     2   494 1186   414  5  2 92  1
 0  0  25664  13184  38628 698072    0    0    32   495 1218   424  4  2 89  5
 0  3  25664   6668  38636 698576    0    0    61   491 1175   383  6  3 86  5
 0  1  25664   6732  38644 699500    0    0   124   630 1261   456 10  4 84  2
 0  0  25664  13420  38652 698556    0    0    84   644 1193   400 17  3 75  5
 0  0  25664  12716  38660 698732    0    0     4   560 1156   353  3  2 81 15
 0  0  25664  11756  38660 698952    0    0     2   574 1118   350  2  2 96  0
 0  0  25664  11692  38668 699140    0    0     3   482 1157   371  2  1 96  1
 0  0  25664  11564  38676 699312    0    0     2   495 1094   324  1  1 98  0
 0  0  25664  10540  38684 699484    0    0     2   480 1207   412  7  2 90  1
 0  0  25664  10988  38692 699672    0    0     2   508 1161   384  4  1 94  1
 0  0  25664  10412  38700 699856    0    0     2   494 1110   324  8  1 91  0
 0  0  25664  11212  38700 700016    0    0     2   547 1124   333  1  1 88 10
 0  0  25664  10220  38708 700204    0    0     2   482 1166   389  3  1 95  1
 0  0  25664  10220  38716 700448    0    0    10   514 1216   444 13  2 83  2
procs -----------memory---------- ---swap-- -----io---- --system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in    cs us sy id wa
 1  0  25664  10028  38724 700612    0    0     2   481 1105   326  0  1 98  1
 0  0  25664   8812  38732 700808    0    0     5   513 1126   355  4  1 93  1
 0  0  25664   6764  38740 701176    0    0    42   504 1091   312  1  2 96  2
 0  0  25664   7276  38740 701364    0    0     4   514 1091   327  0  0 98  1
 0  0  25664   9240  38748 701596    0    0     4   506 1170   390  4  2 92  2
 0  0  25664   9516  38756 701832    0    0    16   592 1221   412  3  1 82 13
