Linux 2.6.9-5.EL (qa-oracle) 	11/16/07

13:44:21      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15
13:44:26            4       360      0.98      0.91      0.50
13:44:31            0       360      0.90      0.89      0.50
13:44:36            0       361      0.91      0.89      0.50
13:44:41            0       360      0.84      0.88      0.50
13:44:46            0       360      0.77      0.86      0.50
13:44:51            0       360      0.71      0.85      0.49
13:44:56            0       360      0.65      0.84      0.49
13:45:01            0       360      0.60      0.82      0.49
13:45:06            0       360      0.55      0.81      0.48
13:45:11            0       360      0.51      0.79      0.48
13:45:16            0       360      0.47      0.78      0.48
13:45:21            0       360      0.43      0.77      0.47
13:45:26            0       360      0.39      0.75      0.47
13:45:31            0       360      0.36      0.74      0.47
13:45:36            0       361      0.33      0.73      0.47
13:45:41            0       361      0.31      0.72      0.46
13:45:46            0       360      0.28      0.70      0.46
13:45:51            0       360      0.26      0.69      0.46
13:45:56            0       360      0.24      0.68      0.45
13:46:01            0       360      0.22      0.67      0.45
13:46:06            0       360      0.20      0.66      0.45
13:46:11            0       360      0.18      0.65      0.45
13:46:16            0       360      0.17      0.64      0.44
Average:            0       360      0.49      0.77      0.47
